"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"1464","alamo square","san francisco","san francisco",1450,1,NA,NA,0,NA,NA,NA,2005-05-10
"1465","alamo square","san francisco","san francisco",2195,1,NA,NA,0,NA,NA,NA,2007-10-18
"1466","alamo square","san francisco","san francisco",2099,1,NA,488,0,NA,NA,NA,2012-04-02
"1467","alamo square","san francisco","san francisco",3150,2,2,700,0,"640",37.776808,-122.446142,2014-01-02
"1468","alamo square","san francisco","san francisco",3150,1,1,1000,0,NA,NA,NA,2015-11-13
"1469","alamo square","san francisco","san francisco",7900,4,1,1700,0,"2353",37.775749,-122.431865,2015-11-13
"1471","alamo square","san francisco","san francisco",4900,4,NA,1700,0,NA,NA,NA,2012-01-29
"1472","alamo square","san francisco","san francisco",4500,4,NA,NA,0,NA,NA,NA,2007-10-26
"1473","alamo square","san francisco","san francisco",10425,6,1,NA,0,NA,37.773212,-122.444216,2015-11-27
"1474","alamo square","san francisco","san francisco",3250,2,1,NA,0,NA,NA,NA,2011-12-30
"1475","alamo square","san francisco","san francisco",3650,1,NA,NA,0,NA,NA,NA,2015-02-06
"1476","alamo square","san francisco","san francisco",1995,2,NA,NA,0,NA,NA,NA,2006-11-12
"1477","alamo square","san francisco","san francisco",2595,2,NA,NA,0,NA,NA,NA,2012-02-03
"1479","alamo square","san francisco","san francisco",2250,1,NA,NA,0,NA,NA,NA,2008-01-20
"1480","alamo square","san francisco","san francisco",1995,1,NA,NA,0,NA,NA,NA,2008-02-20
"1481","alamo square","san francisco","san francisco",1695,1,NA,NA,0,NA,NA,NA,2008-02-28
"1482","alamo square","san francisco","san francisco",2400,2,NA,NA,0,NA,NA,NA,2008-02-28
"1483","alamo square","san francisco","san francisco",5295,3,2,NA,0,NA,NA,NA,2011-12-22
"1484","alamo square","san francisco","san francisco",3195,2,NA,1065,0,NA,NA,NA,2011-11-24
"1485","alamo square","san francisco","san francisco",4195,2,NA,NA,0,NA,NA,NA,2015-03-31
"1486","alamo square","san francisco","san francisco",2770,2,NA,908,0,NA,NA,NA,2012-02-23
"1487","alamo square","san francisco","san francisco",2295,1,NA,NA,0,NA,NA,NA,2008-03-06
"1488","alamo square","san francisco","san francisco",3750,3,2,NA,0,NA,NA,NA,2008-03-06
"1489","alamo square","san francisco","san francisco",5300,5,NA,NA,0,NA,NA,NA,2008-03-06
"1490","alamo square","san francisco","san francisco",970,2,2,NA,0,NA,NA,NA,2012-05-26
"1491","alamo square","san francisco","san francisco",1400,1,NA,NA,0,NA,NA,NA,2012-05-26
"1492","alamo square","san francisco","san francisco",1750,1,NA,NA,0,NA,NA,NA,2008-03-08
"1494","alamo square","san francisco","san francisco",5295,3,2,1400,0,NA,NA,NA,2012-01-07
"1495","alamo square","san francisco","san francisco",2025,1,NA,510,0,NA,NA,NA,2012-02-26
"1497","alamo square","san francisco","san francisco",5500,3,NA,NA,0,NA,NA,NA,2011-07-24
"1498","alamo square","san francisco","san francisco",1900,2,NA,NA,0,NA,NA,NA,2006-04-23
"1499","alamo square","san francisco","san francisco",2975,1,NA,NA,0,NA,NA,NA,2012-06-23
"1500","alamo square","san francisco","san francisco",3150,2,NA,909,0,NA,NA,NA,2011-12-07
"1501","alamo square","san francisco","san francisco",2995,3,NA,NA,0,NA,NA,NA,2006-04-07
"1502","alamo square","san francisco","san francisco",5200,3,NA,1600,0,NA,NA,NA,2012-06-30
"1503","alamo square","san francisco","san francisco",1200,2,NA,1100,0,NA,NA,NA,2012-07-07
"1504","alamo square","san francisco","san francisco",1050,2,NA,NA,0,NA,NA,NA,2014-12-09
"1505","alamo square","san francisco","san francisco",1675,1,NA,NA,0,NA,NA,NA,2010-10-31
"1507","alamo square","san francisco","san francisco",2500,1,NA,530,0,NA,NA,NA,2011-12-15
"1508","alamo square","san francisco","san francisco",10995,5,NA,NA,0,NA,NA,NA,2016-08-11
"1509","alamo square","san francisco","san francisco",790,2,NA,NA,0,NA,NA,NA,2018-05-17
"1510","alamo square","san francisco","san francisco",3490,2,NA,1178,0,NA,NA,NA,2011-12-19
"1511","alamo square","san francisco","san francisco",2200,1,1,420,0,NA,NA,NA,2012-01-22
"1514","alamo square","san francisco","san francisco",2185,1,NA,600,0,NA,NA,NA,2012-01-15
"1515","alamo square","san francisco","san francisco",3495,1,NA,NA,0,NA,NA,NA,2015-10-29
"1516","alamo square","san francisco","san francisco",2695,1,NA,600,0,NA,NA,NA,2015-12-22
"1517","alamo square","san francisco","san francisco",2195,2,NA,NA,0,NA,NA,NA,2012-03-17
"1518","alamo square","san francisco","san francisco",1850,1,NA,NA,0,NA,NA,NA,2006-04-15
"1519","alamo square","san francisco","san francisco",1000,1,1,NA,0,NA,NA,NA,2012-02-26
"1520","alamo square","san francisco","san francisco",2295,1,NA,633,0,NA,NA,NA,2011-11-30
"1521","alamo square","san francisco","san francisco",5500,3,NA,2000,0,NA,NA,NA,2011-12-30
"1523","alamo square","san francisco","san francisco",2050,2,1,NA,0,NA,NA,NA,2007-01-28
"1525","alamo square","san francisco","san francisco",3090,1,NA,926,0,NA,NA,NA,2012-03-11
"1526","alamo square","san francisco","san francisco",2495,2,NA,NA,0,NA,NA,NA,2012-02-07
"1527","alamo square","san francisco","san francisco",1650,1,NA,NA,0,NA,NA,NA,2012-01-16
"1528","alamo square","san francisco","san francisco",3295,2,NA,NA,0,NA,NA,NA,2012-01-16
"1531","alamo square","san francisco","san francisco",2600,1,NA,NA,0,NA,NA,NA,2012-03-26
"1532","alamo square","san francisco","san francisco",3050,1,NA,NA,0,NA,NA,NA,2018-04-26
"1533","alamo square","san francisco","san francisco",1475,3,2,1450,0,NA,NA,NA,2014-09-14
"1535","alamo square","san francisco","san francisco",2150,1,NA,NA,0,NA,NA,NA,2012-02-26
"1536","alamo square","san francisco","san francisco",2800,1,NA,1000,0,NA,NA,NA,2012-03-28
"1539","alamo square","san francisco","san francisco",2000,1,NA,NA,0,NA,NA,NA,2011-11-12
"1541","alamo square","san francisco","san francisco",4500,2,1.5,NA,0,NA,NA,NA,2015-03-16
"1546","alamo square","san francisco","san francisco",5295,3,2,1400,0,NA,NA,NA,2011-12-12
"1547","alamo square","san francisco","san francisco",5400,2,2,NA,0,NA,NA,NA,2016-05-05
"1548","alamo square","san francisco","san francisco",1450,3,2,1300,0,NA,NA,NA,2014-09-07
"1549","alamo square","san francisco","san francisco",3400,2,2,900,0,NA,NA,NA,2014-09-07
"1550","alamo square","san francisco","san francisco",1250,1,NA,NA,0,NA,NA,NA,2006-07-18
"1551","alamo square","san francisco","san francisco",2000,1,NA,NA,0,NA,NA,NA,2012-04-20
"1553","alamo square","san francisco","san francisco",8995,6,NA,NA,0,NA,NA,NA,2015-11-20
"1554","alamo square","san francisco","san francisco",2895,1,NA,NA,0,NA,NA,NA,2015-11-20
"1555","alamo square","san francisco","san francisco",2800,1,NA,679,0,NA,NA,NA,2012-02-26
"1557","alamo square","san francisco","san francisco",3995,3,2,NA,0,NA,NA,NA,2011-01-06
"1558","alamo square","san francisco","san francisco",2295,1,NA,500,0,NA,NA,NA,2012-01-04
"1559","alamo square","san francisco","san francisco",1200,2,NA,NA,0,NA,NA,NA,2007-03-11
"1560","alamo square","san francisco","san francisco",4780,3,NA,NA,0,NA,NA,NA,2012-03-29
"1562","alamo square","san francisco","san francisco",1895,1,NA,NA,0,NA,NA,NA,2012-01-07
"1563","alamo square","san francisco","san francisco",5295,3,2,NA,0,NA,NA,NA,2012-01-07
"1564","alamo square","san francisco","san francisco",2095,1,NA,NA,0,NA,NA,NA,2012-03-18
"1565","alamo square","san francisco","san francisco",2155,1,NA,585,0,NA,NA,NA,2012-03-18
"1566","alamo square","san francisco","san francisco",3250,1,1,900,0,NA,NA,NA,2016-10-01
"1567","alamo square","san francisco","san francisco",2285,1,NA,633,0,NA,NA,NA,2011-12-29
"1568","alamo square","san francisco","san francisco",4500,4,2,NA,0,NA,NA,NA,2012-05-04
"1570","alamo square","san francisco","san francisco",3395,1,NA,NA,0,NA,NA,NA,2015-06-02
"1571","alamo square","san francisco","san francisco",3000,2,NA,NA,0,NA,NA,NA,2012-06-08
"1572","alamo square","san francisco","san francisco",5200,3,2,1500,0,NA,NA,NA,2018-02-20
"1573","alamo square","san francisco","san francisco",4780,3,NA,NA,0,NA,NA,NA,2012-03-20
"1575","alamo square","san francisco","san francisco",3895,2,NA,NA,0,"2644",37.778472,-122.440517,2017-01-19
"1578","alamo square","san francisco","san francisco",2995,2,NA,NA,0,NA,NA,NA,2012-01-06
"1579","alamo square","san francisco","san francisco",7000,3,2,1500,0,NA,NA,NA,2016-01-01
"1580","alamo square","san francisco","san francisco",1850,1,NA,500,0,NA,NA,NA,2011-09-23
"1581","alamo square","san francisco","san francisco",2800,1,NA,NA,0,NA,NA,NA,2012-01-12
"1582","alamo square","san francisco","san francisco",3995,2,2,1100,0,NA,NA,NA,2014-08-31
"1583","alamo square","san francisco","san francisco",2430,1,NA,640,0,NA,NA,NA,2012-02-11
"1584","alamo square","san francisco","san francisco",1900,1,NA,NA,0,NA,NA,NA,2015-11-05
"1585","alamo square","san francisco","san francisco",3145,1,NA,700,0,"2747",37.772699,-122.435739,2017-02-02
