"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"374961","3575","63",3249,"","17TH","ST",1,"02","2016"
"375059","753","10",1592,"","GOLDEN GATE","AV",1,"02","2016"
"375060","753","10",1594,"","GOLDEN GATE","AV",1,"02","2016"
"375420","214","5",1225,"","TAYLOR","ST",1,"02","2016"
"375453","521","13",1674,"","FILBERT","ST",1,"02","2016"
"375908","1418","26",290,"","16TH","AV",1,"02","2016"
"375999","1004","20",2024,"","BRODERICK","ST",1,"02","2016"
"376209","1417","29",228,"","17TH","AV",2,"02","2016"
"376240","8711","31",588,"","MISSION BAY BLVD NORTH","BL",200,"02","2016"
"376256","6048","2",2724,"","SAN BRUNO","AV",1,"02","2016"
"376288","5431A","42",1751,"","CARROLL","AV",121,"02","2016"
"376289","4624","31",140,"","MIDDLE POINT","RD",107,"02","2016"
"376290","4624","31",148,"","MIDDLE POINT","RD",107,"02","2016"
"376389","1073","56",800,"","PRESIDIO","AV",50,"02","2016"
"376573","3541","50",24,"","HENRY","ST",1,"02","2016"
"376580","921","35",2153,"A","NORTH POINT","ST",1,"02","2016"
"379234","1414","61",1888,"","CLEMENT","ST",3,"02","2017"
"379240","1840","2",1419,"","FUNSTON","AV",1,"02","2017"
"379252","935","7",3134,"","BRODERICK","ST",1,"02","2017"
"379253","935","7",3136,"","BRODERICK","ST",1,"02","2017"
"379268","214","5",1225,"","TAYLOR","ST",1,"02","2017"
"379273","1168","43",2739,"","MCALLISTER","ST",1,"02","2017"
"379287","1045","12",236,"","EUCLID","AV",1,"02","2017"
"379288","1045","12",246,"","EUCLID","AV",1,"02","2017"
"379293","6652","26",489,"","30TH","ST",1,"02","2017"
"379294","1258","24",875,"","WALLER","ST",1,"02","2017"
"379302","1190","001L",2190,"","GROVE","ST",5,"02","2017"
"379306","7081A","19",982,"","RANDOLPH","ST",1,"02","2017"
"379309","5322","47",1615,"","OAKDALE","AV",1,"02","2017"
"379316","1189","18",2095,"","FULTON","ST",1,"02","2017"
"379317","3587","30",589,"","DOLORES","ST",3,"02","2017"
"379318","3587","30",591,"","DOLORES","ST",3,"02","2017"
"379319","6022","15",385,"A","ATHENS","ST",1,"02","2017"
"379322","3533","11",420,"","14TH","ST",1,"02","2017"
"379324","1534","27",470,"A","11TH","AV",1,"02","2017"
"379374","148","22",859,"","VALLEJO","ST",3,"02","2017"
"379379","5921","10",340,"A","SILLIMAN","ST",1,"02","2017"
"379397","6464","37",71,"A","CURTIS","ST",1,"02","2017"
"379405","1846","33",1456,"","08TH","AV",1,"02","2017"
"379425","6969","9",65,"","SENECA","AV",1,"02","2017"
"379439","4095","15",888,"","DE HARO","ST",1,"02","2017"
"379475","3613","53",811,"","TREAT","AV",2,"02","2017"
"379524","4212","2",1214,"A","UTAH","ST",2,"02","2017"
"379525","4212","2",1214,"","UTAH","ST",2,"02","2017"
"379563","3730","118",1117,"","HOWARD","ST",1,"02","2017"
"379665","4209","2",1110,"","YORK","ST",1,"02","2017"
"379690","1542","5",431,"","02ND","AV",1,"02","2017"
"379691","1542","5",433,"","2ND","AV",1,"02","2017"
"379892","2658","73",4630,"","18TH","ST",1,"02","2017"
"380014","2775","15",826,"","ALVARADO","ST",1,"02","2017"
"380015","5926","18",150,"A","FELTON","ST",1,"02","2017"
"380078","1152","12",1840,"","GOLDEN GATE","AV",1,"02","2017"
"380079","1152","12",1842,"","GOLDEN GATE","AV",1,"02","2017"
"380080","1152","12",1844,"","GOLDEN GATE","AV",1,"02","2017"
"380452","7065","5",398,"","ELLINGTON","AV",1,"02","2017"
"380459","1183","52",617,"","BRODERICK","ST",1,"02","2017"
"380474","1178","15",618,"","BAKER","ST",1,"02","2017"
"380530","2658","73",4630,"A","18TH","ST",1,"02","2017"
"380583","1200","001D",1431,"","GROVE","ST",2,"02","2017"
