"address","...2","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon","neighborhoods"
"1232 6TH AV , San Francisco, CA, USA",520505,"14/09/2015","1745","14",1232,NA,"6TH","AV",1,"09",2015,37.7654656,-122.4630586,"Inner Sunset"
"1233 PACIFIC AV , San Francisco, CA, USA",197364,"12/04/2010","183","37",1233,NA,"PACIFIC","AV",1,"04",2010,37.795544,-122.415582,"Nob Hill"
"1233 PACIFIC AV , San Francisco, CA, USA",236901,"20/01/2010","183","37",1233,NA,"PACIFIC","AV",1,"01",2010,37.795544,-122.415582,"Nob Hill"
"1234 6TH AV , San Francisco, CA, USA",317747,"04/04/2016","1745","14",1234,NA,"6TH","AV",1,"04",2016,37.7654392,-122.4630563,"Inner Sunset"
"1234 6TH AV , San Francisco, CA, USA",520506,"14/09/2015","1745","14",1234,NA,"6TH","AV",1,"09",2015,37.7654392,-122.4630563,"Inner Sunset"
"1234 GRANT AV , San Francisco, CA, USA",441565,"04/06/2018","145","44",1234,NA,"GRANT","AV",4,"06",2018,37.798648,-122.407002,"North Beach"
"1235 BAY ST , San Francisco, CA, USA",518235,"23/10/2018","473","19",1235,NA,"BAY","ST",1,"10",2018,37.803563,-122.427436,"Marina"
"1235 BAY ST , San Francisco, CA, USA",479983,"17/05/2018","473","19",1235,NA,"BAY","ST",1,"05",2018,37.803563,-122.427436,"Marina"
"1235 PACIFIC AV , San Francisco, CA, USA",197365,"12/04/2010","183","37",1235,NA,"PACIFIC","AV",1,"04",2010,37.795544,-122.415582,"Nob Hill"
"1235 PACIFIC AV , San Francisco, CA, USA",236902,"20/01/2010","183","37",1235,NA,"PACIFIC","AV",1,"01",2010,37.795544,-122.415582,"Nob Hill"
"1236 19TH AV , San Francisco, CA, USA",423474,"10/07/2018","1732","37",1236,NA,"19TH","AV",2,"07",2018,37.7646903571429,-122.477420571429,"Sunset/Parkside"
"1236 19TH AV , San Francisco, CA, USA",347025,"08/08/2018","1732","37",1236,NA,"19TH","AV",3,"08",2018,37.7646903571429,-122.477420571429,"Sunset/Parkside"
"1236 19TH AV , San Francisco, CA, USA",489498,"03/11/2016","1732","37",1236,NA,"19TH","AV",2,"11",2016,37.7646903571429,-122.477420571429,"Sunset/Parkside"
"1236 19TH AV , San Francisco, CA, USA",480528,"04/05/2018","1732","37",1236,NA,"19TH","AV",2,"05",2018,37.7646903571429,-122.477420571429,"Sunset/Parkside"
"1236 45TH AV , San Francisco, CA, USA",260785,NA,"1706","38",1236,NA,"45TH","AV",1,NA,NA,37.763521,-122.504742,"Sunset/Parkside"
"1236 ARGUELLO BLVD , San Francisco, CA, USA",316937,"01/04/2016","1265","19",1236,NA,"ARGUELLO","BL",2,"04",2016,37.76525975,-122.45748884362,"Inner Sunset"
"1236 ARGUELLO BLVD , San Francisco, CA, USA",385431,"12/02/2018","1265","19",1236,NA,"ARGUELLO","BL",2,"02",2018,37.76525975,-122.45748884362,"Inner Sunset"
"1236 ARGUELLO BLVD , San Francisco, CA, USA",417709,"21/07/2017","1265","19",1236,NA,"ARGUELLO","BL",2,"07",2017,37.76525975,-122.45748884362,"Inner Sunset"
"1236 HAIGHT ST , San Francisco, CA, USA",340943,"29/08/2017","1234","10",1236,NA,"HAIGHT","ST",1,"08",2017,37.7706768,-122.4426623,"Haight Ashbury"
"1237 PACIFIC AV , San Francisco, CA, USA",197366,"12/04/2010","183","37",1237,NA,"PACIFIC","AV",1,"04",2010,37.795544,-122.415582,"Nob Hill"
"1238 SUTTER ST , San Francisco, CA, USA",443634,"27/06/2018","670","64",1238,NA,"SUTTER","ST",37,"06",2018,37.7877689666667,-122.420677716667,"Nob Hill"
"1238 SUTTER ST , San Francisco, CA, USA",341204,"15/08/2017","670","11",1238,NA,"SUTTER","ST",37,"08",2017,37.7877689666667,-122.420677716667,"Nob Hill"
"1238 SUTTER ST , San Francisco, CA, USA",355304,"01/12/2016","670","11",1238,NA,"SUTTER","ST",37,"12",2016,37.7877689666667,-122.420677716667,"Nob Hill"
"1238 SUTTER ST , San Francisco, CA, USA",384514,"26/02/2018","670","11",1238,NA,"SUTTER","ST",37,"02",2018,37.7877689666667,-122.420677716667,"Nob Hill"
"1238 SUTTER ST , San Francisco, CA, USA",470415,"09/05/2016","670","11",1238,NA,"SUTTER","ST",37,"05",2016,37.7877689666667,-122.420677716667,"Nob Hill"
"1239 17TH ST , San Francisco, CA, USA",214620,"15/12/2009","3985","27",1239,NA,"17TH","ST",1,"12",2009,37.764914,-122.396544,"Potrero Hill"
"1239 19TH AV , San Francisco, CA, USA",191427,"18/04/2007","1731","7",1239,NA,"19TH","AV",1,"04",2007,37.7646618,-122.477564602713,"Sunset/Parkside"
"124 21ST AV , San Francisco, CA, USA",17184,"10/08/2011","1380","031A",124,NA,"21ST","AV",1,"08",2011,37.7854639,-122.480596036186,"Outer Richmond"
"124 DIAMOND COVE TERR , San Francisco, CA, USA",130418,"21/05/2013","4991","608",124,NA,"DIAMOND COVE","TR",6,"05",2013,37.71292,-122.394274,"Bayview Hunters Point"
"124 HAIGHT ST , San Francisco, CA, USA",364864,"05/12/2018","852","44",124,NA,"HAIGHT","ST",1,"12",2018,37.7729642,-122.42435888,"Hayes Valley"
"124 LILY ST , San Francisco, CA, USA",196760,"22/04/2009","838","32",124,NA,"LILY","ST",1,"04",2009,37.7745952,-122.423067897761,"Hayes Valley"
"124 LILY ST , San Francisco, CA, USA",293087,"29/10/2007","838","32",124,NA,"LILY","ST",1,"10",2007,37.7745952,-122.423067897761,"Hayes Valley"
"1240 REVERE AV , San Francisco, CA, USA",415012,"28/07/2016","4762","6",1240,NA,"REVERE","AV",1,"07",2016,37.728064,-122.383278,"Bayview Hunters Point"
"1241 SHRADER ST , San Francisco, CA, USA",477457,"24/05/2017","1282","8",1241,NA,"SHRADER","ST",1,"05",2017,37.76323715,-122.451184702047,"Haight Ashbury"
"1242 22ND AV , San Francisco, CA, USA",260764,NA,"1729","023Q",1242,NA,"22ND","AV",1,NA,NA,37.76448015,-122.480158134325,"Sunset/Parkside"
"1244 LARKIN ST , San Francisco, CA, USA",417619,"26/07/2017","278","10",1244,NA,"LARKIN","ST",3,"07",2017,37.7895438125,-122.418678875,"Nob Hill"
"1244 LEAVENWORTH ST , San Francisco, CA, USA",192290,"03/04/2008","220","26",1244,NA,"LEAVENWORTH","ST",1,"04",2008,37.792706,-122.415751,"Nob Hill"
"1246 12TH AV , San Francisco, CA, USA",467495,"26/05/2015","1739","35",1246,NA,"12TH","AV",1,"05",2015,37.7648893,-122.469399324339,"Inner Sunset"
"1246 LEAVENWORTH ST , San Francisco, CA, USA",192291,"03/04/2008","220","26",1246,NA,"LEAVENWORTH","ST",1,"04",2008,37.792706,-122.415751,"Nob Hill"
"125 3RD ST , San Francisco, CA, USA",213286,"26/12/2008","3722","82",125,NA,"3RD","ST",269,"12",2008,37.786057,-122.401365,"Financial District/South Beach"
"125 PRECITA AV , San Francisco, CA, USA",357102,"27/12/2016","5501","35",125,NA,"PRECITA","AV",1,"12",2016,37.74711,-122.417837,"Bernal Heights"
"125 TRENTON ST , San Francisco, CA, USA",101130,"10/06/2013","179","30",125,NA,"TRENTON","ST",1,"06",2013,37.7961173,-122.409301817326,"Chinatown"
"125 TRENTON ST , San Francisco, CA, USA",180415,"09/09/2013","179","30",125,NA,"TRENTON","ST",1,"09",2013,37.7961173,-122.409301817326,"Chinatown"
"1251 8TH AV , San Francisco, CA, USA",345771,"31/08/2018","1742","10",1251,NA,"8TH","AV",2,"08",2018,37.7649615,-122.465612808745,"Inner Sunset"
"1253 BAY ST , San Francisco, CA, USA",345725,"14/08/2018","473","17",1253,NA,"BAY","ST",1,"08",2018,37.803533,-122.427653,"Marina"
"1254 LEAVENWORTH ST , San Francisco, CA, USA",275992,"01/05/2008","220","28",1254,NA,"LEAVENWORTH","ST",1,"05",2008,37.792855,-122.415782,"Nob Hill"
"1255 BAY ST , San Francisco, CA, USA",345726,"14/08/2018","473","17",1255,NA,"BAY","ST",1,"08",2018,37.803536,-122.427649,"Marina"
"1255 COLUMBUS AV , San Francisco, CA, USA",356600,"19/12/2016","28","14",1255,NA,"COLUMBUS","AV",20,"12",2016,37.8052436666667,-122.417487833333,"Russian Hill"
"1256 A LEAVENWORTH ST , San Francisco, CA, USA",275990,"01/05/2008","220","28",1256,"A","LEAVENWORTH","ST",1,"05",2008,37.7926395833333,-122.415932666667,"Nob Hill"
"1256 B LEAVENWORTH ST , San Francisco, CA, USA",275991,"01/05/2008","220","28",1256,"B","LEAVENWORTH","ST",1,"05",2008,37.792855,-122.415782,"Nob Hill"
"1258 REVERE AV , San Francisco, CA, USA",285690,"13/11/2008","4762","30",1258,NA,"REVERE","AV",1,"11",2008,37.728243,-122.383594,"Bayview Hunters Point"
"1258 REVERE AV , San Francisco, CA, USA",272468,"22/05/2007","4762","30",1258,NA,"REVERE","AV",1,"05",2007,37.728243,-122.383594,"Bayview Hunters Point"
"1259 21ST AV , San Francisco, CA, USA",352732,"24/12/2015","1729","12",1259,NA,"21ST","AV",1,"12",2015,37.7642302,-122.479571367075,"Sunset/Parkside"
"1259 21ST AV , San Francisco, CA, USA",149794,"06/11/2014","1729","12",1259,NA,"21ST","AV",1,"11",2014,37.7642302,-122.479571367075,"Sunset/Parkside"
"1259 GUERRERO ST , San Francisco, CA, USA",263879,NA,"6513","14",1259,NA,"GUERRERO","ST",1,NA,NA,37.7510316,-122.4226076,"Mission"
"126 A HUGO ST , San Francisco, CA, USA",364966,"28/12/2018","1748","11",126,"A","HUGO","ST",1,"12",2018,37.765370244898,-122.459243897959,"Inner Sunset"
