"","buyout_amount","address","nhood","long","lat","month","year"
"5896","26,000.00","543 40th Avenue","Outer Richmond","-122.50078767823132","37.778520028752084","7","2017"
"5897","9,000.00","1275 Quesada Avenue","Bayview Hunters Point","-122.38352216469708","37.728808272730014","11","2018"
"5900","68,796.46","1906 Hyde Street","Russian Hill","-122.418869873003","37.79842421444974","10","2021"
"5902","45,000.00","1338 Jessie Street","Mission","-122.42112430773396","37.77140189111093","9","2018"
"5904","34,000.00","726 Clementina Street","South of Market","-122.41109946902979","37.77509670575736","5","2016"
"5906","10,000.00","1608 lyon Street","Presidio Heights","-122.44502990880765","37.78570843672959","2","2018"
"5909","50,000.00","683 28th Street","Noe Valley","-122.43743949741045","37.744637343103975","11","2018"
"5910","16,000.00","1217 02nd Avenue","Inner Sunset","-122.4589691171066","37.76590079009505","3","2020"
"5917","10,143.13","1433 Jefferson Street","Marina","-122.4361557130658","37.80559089705762","1","2020"
"5918","101,059.15","524 Steiner Street","Hayes Valley","-122.43250195034649","37.774040561473065","5","2022"
"5919","30,000.00","3809 20th Street","Castro/Upper Market","-122.42605852245381","37.75818782403141","10","2020"
"5920","40,000.00","193 Marietta Drive","West of Twin Peaks","-122.44648842554457","37.74023978144571","3","2019"
"5921","51,375.00","185 19th Avenue","Outer Richmond","-122.47864997333394","37.78450695156488","9","2017"
"5922","10,000.00","310 Columbus Avenue","North Beach","-122.40682559357973","37.79800548858072","10","2020"
"5923","37,500.00","738 Hayes Street","Hayes Valley","-122.42859355191509","37.77620090133815","6","2019"
"5925","40,000.00","1667 Turk Street","Western Addition","-122.43650288080366","37.779919266966544","6","2022"
"5934","65,000.00","1260 Vermont Street","Mission","-122.40350019114534","37.753696080093086","11","2019"
"5935","150,000.00","953 Guerrero Street","Mission","-122.4232023823214","37.756067800360604","9","2018"
"5937","14,000.01","2364 Pacific Avenue","Pacific Heights","-122.43414718554659","37.79345625495394","6","2017"
"5943","20,000.00","3009 Mission Street","Mission","-122.4181004071451","37.74890047810087","7","2018"
"5947","21,540.00","4162 25th Street","Noe Valley","-122.43310224529004","37.74977873954815","6","2017"
"5948","39,597.00","471 14th Avenue","Outer Richmond","-122.47279713496008","37.77929638620669","10","2016"
"5952","114,110.00","4034 20th Street","Castro/Upper Market","-122.43133294770078","37.75792301955919","8","2020"
"5960","50,000.00","1110 Jackson Street","Nob Hill","-122.41346276231936","37.795196634664144","10","2021"
"5962","30,000.00","39 Neptune Street","Bayview Hunters Point","-122.39696512800033","37.73074947309344","3","2016"
"5963","35,000.00","1938 18th Avenue","Inner Sunset","-122.47520388549006","37.75168629743863","4","2018"
"5966","28,155.68","172 Dolores Street","Castro/Upper Market","-122.42671329296438","37.76669818462146","6","2018"
"5968","52,000.00","1795 o’farrell Street","Western Addition","-122.43418816234478","37.783082948055096","7","2019"
"5970","13,000.00","2575 37th Avenue","Sunset/Parkside","-122.4948025788814","37.738977666998814","1","2022"
"5971","50,000.00","1959 Golden Gate Avenue","Lone Mountain/USF","-122.44282421666398","37.77815596403807","4","2020"
"5975","115,000.00","162 Alhambra Street","Marina","-122.43905566277148","37.80190252673655","4","2017"
"5981","50,000.00","1462 29th Avenue","Sunset/Parkside","-122.48760763188267","37.76007632978828","12","2019"
"5982","13,500.00","1288 Green Street","Russian Hill","-122.42028493200229","37.79811840969208","7","2016"
"5983","175,000.00","3432 22nd Street","Mission","-122.42395672094295","37.75515780526335","11","2019"
"5987","17,000.00","235 Cortland Avenue","Bernal Heights","-122.41903972734696","37.73951232763077","10","2017"
"5992","45,000.00","122 Milton Street","Outer Mission","-122.42941028816777","37.73299333507286","10","2017"
"5995","100,000.00","4352 24th Street","Noe Valley","-122.43974348955801","37.750984431480084","10","2019"
"5998","175,000.00","626 09th Avenue","Inner Richmond","-122.46716100830298","37.776557311833145","10","2018"
"6000","35,000.00","3529 19th Street","Mission","-122.42204864720387","37.76004225684917","8","2018"
"6003","90,000.00","484 Belvedere Street","Haight Ashbury","-122.44814359397566","37.76365135397391","11","2016"
"6008","33,000.00","940 Hayes Street","Hayes Valley","-122.43190358444159","37.775778345137724","2","2019"
"6011","150,000.00","1 Mallorca Way","Marina","-122.4373645579146","37.80077334226879","1","2022"
"6012","49,276.00","1238 Willard Street","Inner Sunset","-122.45449522912752","37.76579313424875","9","2015"
"6013","10,000.00","155 Jackson Street","Financial District/South Beach","-122.39897608750066","37.79698073503314","12","2020"
