"address","...1","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon"
"1631 CHESTNUT ST , San Francisco, CA, USA",491726,"07/11/2017","495","001C",1631,NA,"CHESTNUT","ST",1,"11",2017,"37.801402350000004","-122.43015870568918"
"1631 SHAFTER AV , San Francisco, CA, USA",356231,"14/12/2016","5359","6",1631,NA,"SHAFTER","AV",1,"12",2016,"37.731253300000006","-122.3915510833463"
"1633 A NORIEGA ST , San Francisco, CA, USA",461866,"06/03/2018","2060","46",1633,"A","NORIEGA","ST",1,"03",2018,"37.753951224489796","-122.48115781632653"
"1633 NORIEGA ST , San Francisco, CA, USA",385701,"21/02/2018","2060","46",1633,NA,"NORIEGA","ST",1,"02",2018,"37.7538783","-122.4813787"
"1633 NORIEGA ST , San Francisco, CA, USA",456025,"16/03/2017","2060","46",1633,NA,"NORIEGA","ST",1,"03",2017,"37.7538783","-122.4813787"
"1633 WASHINGTON ST , San Francisco, CA, USA",460822,"29/03/2018","620","26",1633,NA,"WASHINGTON","ST",3,"03",2018,"37.793123","-122.420181"
"1634 A ALABAMA ST , San Francisco, CA, USA",422387,"13/07/2018","5526","5",1634,"A","ALABAMA","ST",1,"07",2018,"37.7462864","-122.41082693185851"
"1634 ALABAMA ST , San Francisco, CA, USA",422388,"13/07/2018","5526","5",1634,NA,"ALABAMA","ST",1,"07",2018,"37.7462864","-122.41082693185851"
"1634 PINE ST , San Francisco, CA, USA",163888,"20/10/2014","647","7",1634,NA,"PINE","ST",262,"10",2014,"37.78940653061225","-122.42283616326532"
"1637 HYDE ST , San Francisco, CA, USA",331905,"10/08/2015","154","4",1637,NA,"HYDE","ST",1,"08",2015,"37.79591115","-122.41866521680504"
"1637 HYDE ST , San Francisco, CA, USA",452186,"04/03/2016","154","4",1637,NA,"HYDE","ST",1,"03",2016,"37.79591115","-122.41866521680504"
"1637 LOMBARD ST , San Francisco, CA, USA",374820,"02/02/2016","505","18",1637,NA,"LOMBARD","ST",1,"02",2016,"37.800590650000004","-122.42847854298634"
"1637 LOMBARD ST , San Francisco, CA, USA",361336,"12/12/2017","505","18",1637,NA,"LOMBARD","ST",1,"12",2017,"37.800590650000004","-122.42847854298634"
"1637 LOMBARD ST , San Francisco, CA, USA",414183,"14/07/2016","505","18",1637,NA,"LOMBARD","ST",1,"07",2016,"37.800590650000004","-122.42847854298634"
"1637 LOMBARD ST , San Francisco, CA, USA",511109,"12/10/2017","505","18",1637,NA,"LOMBARD","ST",1,"10",2017,"37.800590650000004","-122.42847854298634"
"1637 LOMBARD ST , San Francisco, CA, USA",355823,"08/12/2016","505","18",1637,NA,"LOMBARD","ST",1,"12",2016,"37.800590650000004","-122.42847854298634"
"1637 LOMBARD ST , San Francisco, CA, USA",501379,"22/10/2015","505","18",1637,NA,"LOMBARD","ST",1,"10",2015,"37.800590650000004","-122.42847854298634"
"1639 WASHINGTON ST , San Francisco, CA, USA",460823,"29/03/2018","620","26",1639,NA,"WASHINGTON","ST",3,"03",2018,"37.793123","-122.420181"
"164 23RD AV , San Francisco, CA, USA",461651,"02/03/2018","1382","29",164,NA,"23RD","AV",1,"03",2018,"37.78468695","-122.48264280387124"
"164 23RD AV , San Francisco, CA, USA",328668,"24/04/2018","1382","29",164,NA,"23RD","AV",1,"04",2018,"37.78468695","-122.48264280387124"
"164 23RD AV , San Francisco, CA, USA",342814,"16/08/2017","1382","29",164,NA,"23RD","AV",1,"08",2017,"37.78468695","-122.48264280387124"
"164 23RD AV , San Francisco, CA, USA",436967,"19/06/2017","1382","29",164,NA,"23RD","AV",1,"06",2017,"37.78468695","-122.48264280387124"
"164 ALHAMBRA ST , San Francisco, CA, USA",501744,"19/10/2015","0463A","13",164,NA,"ALHAMBRA","ST",1,"10",2015,"37.802009","-122.439132"
"164 COLLEGE AV , San Francisco, CA, USA",532343,"27/09/2017","6720","66",164,NA,"COLLEGE","AV",1,"09",2017,"37.735241","-122.42569"
"164 RUSS ST , San Francisco, CA, USA",57812,"25/02/2014","3731","84",164,NA,"RUSS","ST",2,"02",2014,"37.777939","-122.40754"
"164 RUSS ST , San Francisco, CA, USA",338121,"19/08/2016","3731","84",164,NA,"RUSS","ST",2,"08",2016,"37.777939","-122.40754"
"164 RUSS ST , San Francisco, CA, USA",470364,"16/05/2016","3731","84",164,NA,"RUSS","ST",2,"05",2016,"37.777939","-122.40754"
"164 RUSS ST , San Francisco, CA, USA",333392,"26/08/2015","3731","84",164,NA,"RUSS","ST",2,"08",2015,"37.777939","-122.40754"
"164 RUSS ST , San Francisco, CA, USA",470614,"16/05/2016","3731","84",164,NA,"RUSS","ST",2,"05",2016,"37.777939","-122.40754"
"164 RUSS ST , San Francisco, CA, USA",470408,"17/05/2016","3731","84",164,NA,"RUSS","ST",2,"05",2016,"37.777939","-122.40754"
"1640 HAYES ST , San Francisco, CA, USA",221437,"26/02/2007","1198","14",1640,NA,"HAYES","ST",3,"02",2007,"37.7745068","-122.44357647979552"
"1640 HAYES ST , San Francisco, CA, USA",220480,"09/02/2007","1198","14",1640,NA,"HAYES","ST",3,"02",2007,"37.7745068","-122.44357647979552"
"1640 HAYES ST , San Francisco, CA, USA",231632,"29/01/2007","1198","14",1640,NA,"HAYES","ST",3,"01",2007,"37.7745068","-122.44357647979552"
"1640 HAYES ST , San Francisco, CA, USA",223696,"26/02/2008","1198","14",1640,NA,"HAYES","ST",3,"02",2008,"37.7745068","-122.44357647979552"
"1640 VALLEJO ST , San Francisco, CA, USA",496531,"08/11/2018","551","14",1640,NA,"VALLEJO","ST",2,"11",2018,"37.79669965","-122.42515224618353"
"1642 PALOU AV , San Francisco, CA, USA",452982,"28/03/2016","5322","8",1642,NA,"PALOU","AV",1,"03",2016,"37.7346663","-122.39170113589671"
"1645 HYDE ST , San Francisco, CA, USA",460743,"01/03/2018","154","3",1645,NA,"HYDE","ST",1,"03",2018,"37.7960041","-122.41866416897605"
