"","nhood_month_year","buyout_amount","count","avg_buyout","month","year","nhood"
"1051","7 2017 Haight Ashbury",17750,1,17750,"7","2017","Haight Ashbury"
"1052","7 2017 Hayes Valley",100383.6,1,100383.6,"7","2017","Hayes Valley"
"1053","7 2017 Marina",40000,1,40000,"7","2017","Marina"
"1054","7 2017 Mission",299196.74,4,74799.185,"7","2017","Mission"
"1055","7 2017 Nob Hill",24000,1,24000,"7","2017","Nob Hill"
"1056","7 2017 North Beach",47310,1,47310,"7","2017","North Beach"
"1057","7 2017 Oceanview/Merced/Ingleside",70000,2,35000,"7","2017","Oceanview/Merced/Ingleside"
"1058","7 2017 Outer Richmond",76000,2,38000,"7","2017","Outer Richmond"
"1059","7 2017 Pacific Heights",17473.21,1,17473.21,"7","2017","Pacific Heights"
"1060","7 2017 Russian Hill",30000,1,30000,"7","2017","Russian Hill"
"1061","7 2017 West of Twin Peaks",20000,1,20000,"7","2017","West of Twin Peaks"
"1062","7 2017 Western Addition",10000,1,10000,"7","2017","Western Addition"
"1063","7 2018 Bayview Hunters Point",25000,1,25000,"7","2018","Bayview Hunters Point"
"1064","7 2018 Castro/Upper Market",162030.28,2,81015.14,"7","2018","Castro/Upper Market"
