Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B173046,12/08/2017,,,,,,465 30th Street,94131,8,Glen Park,POINT (-122.43027952330114 37.74184861301957),100,59,9,5,10,7,7,5,2,63,1,,,,59
B191499,06/21/2019,,,,,,1900 Jefferson Street,94123,2,Marina,POINT (-122.4439227109458 37.804655237896654),100,17,4,6,13,17,9,1,13,57,1,,,,17
B190981,05/06/2019,08/30/2019,"20,000.00",,,1,2100 44th Avenue,94116,4,Sunset/Parkside,POINT (-122.5028434443164 37.747378693572436),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B220949,,04/28/2022,"45,000.00",,,2,225 Lee Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45415631185826 37.72229537378559),100,64,10,8,24,24,8,4,9,"28,861",2,,,,64
B190476,03/01/2019,,,,,,2 Neptune Street,94124,10,Bayview Hunters Point,POINT (-122.39692364932172 37.73123461903852),100,87,2,9,1,1,3,8,10,58,2,,,,87
B162344,07/13/2016,10/17/2016,"40,000.00",,,3,741 Clayton Street,94117,8,Haight Ashbury,POINT (-122.44827952523718 37.76809059273932),100,29,7,11,3,9,5,11,15,"29,492",1,,,,29
B163728,12/02/2016,07/06/2017,"47,310.00",,,1,1 Sonoma Street,94133,3,North Beach,POINT (-122.40628354467638 37.79994189471926),100,106,6,3,23,23,1,10,3,308,2,,,,106
B171305,05/15/2017,,,,,,3099 washington Street,94115,2,Pacific Heights,POINT (-122.44419603241774 37.79031928382802),100,102,8,6,30,27,6,1,13,"29,490",1,,,,102
B220239,02/09/2022,,,,,,2400 Pacific Avenue,94115,2,Pacific Heights,POINT (-122.43486439987375 37.793364588620385),100,102,4,6,30,27,9,1,13,"29,490",1,,,,102
B201861,03/12/2020,01/20/2022,"22,000.00",,,2,1414 38th Avenue,94122,4,Sunset/Parkside,POINT (-122.49730918499394 37.76047844422743),100,39,10,7,35,35,8,3,1,56,1,,,,39
B191179,05/24/2019,,,,,,870 South Van Ness Avenue,94110,9,Mission,POINT (-122.41696713723097 37.75926357111439),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B161080,03/11/2016,05/11/2016,"34,000.00",,,3,606 26th Avenue,94121,1,Outer Richmond,POINT (-122.48563263925327 37.77793062801094),100,8,8,4,29,26,6,2,11,55,1,,,,8
B171980,08/01/2017,,,,,,131 Randolph Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.46383239510357 37.71427623711134),100,65,10,1,24,24,8,6,9,64,2,,,,65
B181404,05/01/2018,07/23/2018,"80,000.00",,,2,2608 OCTAVIA Street,94123,2,Marina,POINT (-122.42854774557168 37.796222379039634),100,102,4,6,13,17,9,1,13,57,1,,,,102
B162048,06/10/2016,,,,,,23 Liebig Street,94112,11,Outer Mission,POINT (-122.45604972360461 37.70839736402898),100,66,9,1,28,25,7,6,9,"28,861",2,,,,66
B211807,12/06/2021,,,,,,1764 Quesada Avenue,94124,10,Bayview Hunters Point,POINT (-122.39254452059619 37.734056305306936),100,87,2,9,1,1,3,8,10,58,2,,,,87
B171839,,07/13/2017,"50,000.00",,,1,79 Kempton Avenue,94132,7,Oceanview/Merced/Ingleside,POINT (-122.46841674987638 37.711695287758886),100,65,10,8,24,24,8,4,9,64,2,,,,65
B183433,12/24/2018,12/24/2018,"52,200.00",,,1,3007 California Street,94115,2,Presidio Heights,POINT (-122.44396045287567 37.78760019010225),100,103,8,6,31,31,6,1,13,"29,490",1,,,,103
B210306,03/03/2021,,,,,,2560 McAllister Street,94118,1,Lone Mountain/USF,POINT (-122.45405943908723 37.775648170928626),100,12,7,4,18,16,6,2,15,54,1,,,,12
B210536,04/19/2021,,,,,,1845 Pacheco Street,94116,4,Sunset/Parkside,POINT (-122.47993005557247 37.75032462083255),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B210693,05/17/2021,,,,,,733 Fillmore Street,94117,5,Hayes Valley,POINT (-122.43131232988061 37.776168050480976),100,23,4,11,9,10,9,11,15,"29,492",1,,,,23
B170660,03/20/2017,05/08/2017,"15,000.00",,,2,2412 22nd Avenue,94116,4,Sunset/Parkside,POINT (-122.478863306974 37.742618693558946),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
