"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"3435","bayview","san francisco","san francisco",3906,1,NA,1222,0,NA,NA,NA,2015-10-15
"3436","bayview","san francisco","san francisco",3600,3,2,1350,0,NA,NA,NA,2016-10-01
"3437","bayview","san francisco","san francisco",2695,4,NA,1200,0,NA,NA,NA,2011-11-29
"3444","bayview","san francisco","san francisco",3090,2,2,984,0,NA,NA,NA,2016-09-17
"3447","bayview","san francisco","san francisco",2650,2,NA,1070,0,NA,37.725476,NA,2013-12-19
"3449","bayview","san francisco","san francisco",3300,2,NA,920,0,NA,NA,NA,2017-10-03
"3452","bayview","san francisco","san francisco",2400,2,NA,1664,0,NA,NA,NA,2012-04-27
"3456","bayview","san francisco","san francisco",1950,1,NA,650,0,NA,NA,NA,2014-09-07
"3457","bayview","san francisco","san francisco",2800,1,1,800,0,NA,NA,NA,2018-05-31
"3459","bayview","san francisco","san francisco",2885,1,NA,572,0,NA,NA,NA,2017-08-17
"3460","bayview","san francisco","san francisco",2800,2,2,1073,0,NA,NA,NA,2016-02-09
"3461","bayview","san francisco","san francisco",2795,2,1,700,0,NA,NA,NA,2017-08-17
"3464","bayview","san francisco","san francisco",4391,2,NA,1706,0,NA,NA,NA,2016-04-11
"10879","bernal","san francisco","san francisco",2750,2,NA,1050,0,NA,NA,NA,2012-01-17
"10910","bernal","san francisco","san francisco",2995,2,NA,900,0,NA,NA,NA,2016-03-16
"10954","bernal","san francisco","san francisco",2525,2,NA,950,0,NA,NA,NA,2011-12-09
"10972","bernal","san francisco","san francisco",2950,2,NA,800,0,NA,NA,NA,2011-11-11
"10973","bernal","san francisco","san francisco",3990,3,2,1953,0,NA,NA,NA,2011-11-11
"10974","bernal","san francisco","san francisco",3995,3,NA,1150,0,NA,NA,NA,2011-11-11
"11015","bernal","san francisco","san francisco",2300,NA,NA,500,0,NA,NA,NA,2015-04-07
"11037","bernal","san francisco","san francisco",6850,3,NA,1250,0,NA,NA,NA,2017-11-29
"11061","bernal","san francisco","san francisco",3200,2,NA,1300,0,NA,NA,NA,2011-12-15
"11106","bernal","san francisco","san francisco",4995,2,NA,1800,0,NA,NA,NA,2012-03-09
"11111","bernal","san francisco","san francisco",5950,4,NA,1950,0,NA,NA,NA,2012-01-04
"11112","bernal","san francisco","san francisco",1850,1,NA,200,0,NA,NA,NA,2015-12-18
"11121","bernal","san francisco","san francisco",2500,1,NA,600,0,NA,NA,NA,2015-12-25
"11122","bernal","san francisco","san francisco",3000,NA,NA,500,0,NA,NA,NA,2015-12-25
"11123","bernal","san francisco","san francisco",3200,2,NA,900,0,"2452",37.7195,-122.4411,2015-12-25
"11127","bernal","san francisco","san francisco",2900,2,NA,900,0,NA,NA,NA,2012-02-09
"11128","bernal","san francisco","san francisco",4000,3,NA,1500,0,NA,NA,NA,2012-02-09
"11147","bernal","san francisco","san francisco",5500,3,NA,1300,0,NA,NA,NA,2012-06-23
"11148","bernal","san francisco","san francisco",2000,1,NA,750,0,NA,NA,NA,2012-01-12
"11150","bernal","san francisco","san francisco",1750,2,1,854,0,NA,NA,NA,2012-07-07
"11170","bernal","san francisco","san francisco",3675,4,2.5,1836,0,NA,NA,NA,2016-07-09
"11171","bernal","san francisco","san francisco",2545,1,NA,1100,0,NA,NA,NA,2012-08-05
"11197","bernal","san francisco","san francisco",575,3,NA,1000,0,NA,NA,NA,2010-10-31
"11225","bernal","san francisco","san francisco",12000,5,NA,2800,0,NA,37.746465,NA,2013-12-29
"11227","bernal","san francisco","san francisco",4500,3,NA,1500,0,NA,37.738881,NA,2013-12-30
"11247","bernal","san francisco","san francisco",4250,2,1,975,0,"2194",37.738156,-122.410879,2015-06-09
"11256","bernal","san francisco","san francisco",2750,2,NA,896,0,NA,NA,NA,2011-09-30
"11260","bernal","san francisco","san francisco",1450,1,NA,500,0,NA,NA,NA,2011-11-02
"11262","bernal","san francisco","san francisco",4200,3,2,1400,0,NA,NA,NA,2011-12-15
"11264","bernal","san francisco","san francisco",3775,4,2.5,1836,0,NA,NA,NA,2018-05-17
"11271","bernal","san francisco","san francisco",4500,2,NA,1250,0,NA,NA,NA,2011-11-12
