"...1","X","buyout_amount","address","nhood","long","lat","month","year","centroid_lat","centroid_long"
2293,5733,29185,"229 Dorado Terrace","West of Twin Peaks",-122.461556908165,37.7262829753184,8,2021,37.737955,-122.460363
2294,5737,20000,"23 Laidley Street","Glen Park/Noe Valley",-122.431777685577,37.7414152877644,10,2018,37.735976,-122.434464
2295,5738,47000,"2047 22nd Avenue","Sunset/Parkside",-122.47941155915,37.7494910546108,3,2022,37.749026,-122.493742
2296,5739,28000,"327 Cornwall Street","Inner Richmond",-122.462763714399,37.7848687362671,4,2016,37.778849,-122.468955
2297,5740,19800,"970 Chestnut Street","Russian Hill",-122.419398838587,37.8030113069107,4,2020,37.800432,-122.417609
2298,5747,64633,"31 Beulah Street","Haight Ashbury/Hayes Valley",-122.450738671411,37.7675925863128,12,2016,37.76991,-122.447678
2299,5748,12500,"2020 Lake Street","Seacliff",-122.481160572318,37.7859526749718,5,2019,37.785975,-122.489522
2300,5749,6000,"1231 Naples Street","Excelsior/Outer Mission",-122.438121914819,37.7114510617404,5,2021,37.7223,-122.431224
2301,5751,45000,"736 Girard Street","Portola",-122.402957825538,37.7233076076646,12,2019,37.72647,-122.407642
2302,5753,18000,"28 Salmon Street","Nob Hill",-122.412567318148,37.796432859273,1,2019,37.793044,-122.414461
2303,5754,10030,"2375 20th Avenue","Sunset/Parkside",-122.476847107782,37.7435091442032,3,2021,37.749026,-122.493742
2304,5755,32000,"114 Clearfield Drive","Sunset/Parkside",-122.491386491696,37.7315980632879,10,2015,37.749026,-122.493742
2305,5756,1e+05,"19 Chattanooga Street","Glen Park/Noe Valley",-122.426732870254,37.7562171901982,1,2017,37.747095,-122.431421
2306,5758,80985.54,"1667 Green Street","Marina",-122.426512544709,37.7972513293818,11,2017,37.802877,-122.436969
2307,5760,35000,"1841 19th Street","Potrero Hill",-122.4006790042,37.7610217543318,12,2016,37.759056,-122.398618
2308,5762,25000,"163 Skyview Way","Twin Peaks",-122.449764367886,37.7529620733341,4,2018,37.753375,-122.445652
2309,5763,52140,"642 Mansell Street","Portola",-122.407485702677,37.7200235683146,11,2016,37.72647,-122.407642
2310,5768,67500,"817 Dolores Street","Mission",-122.425485204681,37.7563333847225,7,2021,37.758338,-122.414678
2311,5771,NA,"355 Buena Vista East","Castro/Upper Market",-122.440255479838,37.7675172246193,8,2021,37.758812,-122.435644
2312,5777,40000,"95 Duboce Avenue","Mission",-122.422196745742,37.7698571243399,4,2021,37.758338,-122.414678
2313,5778,45000,"1335 05th Avenue","Inner Sunset",-122.462030743837,37.7635547097387,7,2018,37.762068,-122.467189
2314,5780,2e+05,"42 Sanchez Street","Castro/Upper Market",-122.431333397083,37.7685897992186,10,2021,37.758812,-122.435644
2315,5783,59206.21,"1780 McAllister Street","Western Addition",-122.441322707373,37.7774532833291,9,2017,37.780587,-122.43451
2316,5785,8200,"840 CApp Street","Mission",-122.417491092352,37.7532370464761,5,2015,37.758338,-122.414678
2317,5789,2e+05,"659 14th Avenue","Outer Richmond",-122.472538923334,37.7757602390966,5,2018,37.776683,-122.489908
2318,5790,10000,"1483 27TH Avenue","Sunset/Parkside",-122.485510211818,37.7598230701101,5,2016,37.749026,-122.493742
2319,5791,1750,"170 Rolph Street","Excelsior/Outer Mission",-122.438865533922,37.7145156780809,9,2015,37.7223,-122.431224
2320,5798,28800,"1543 17th Avenue","Inner Sunset",-122.474714668429,37.7591180588819,8,2021,37.762068,-122.467189
2321,5801,13254,"1392 La Playa Street","Sunset/Parkside",-122.509133704022,37.7604815985825,11,2018,37.749026,-122.493742
2322,5802,7301,"68 Newton Street","Excelsior/Outer Mission",-122.438819371983,37.7137095374699,3,2016,37.7223,-122.431224
2323,5803,90000,"1565 Fulton Street","Lone Mountain/USF",-122.44253556304,37.7762811619853,12,2016,37.777975,-122.452816
2324,5805,14500,"230 11th Street","Mission",-122.415165893519,37.7727376128046,12,2017,37.758338,-122.414678
2325,5809,62500,"1478 19th Avenue","Inner Sunset",-122.476760555734,37.7602702797777,5,2022,37.762068,-122.467189
2326,5810,0,"2060 Pacific Avenue","Pacific Heights",-122.429159622057,37.7940935833856,9,2017,37.792182,-122.432784
2327,5815,155666.64,"873 Union Street","Russian Hill",-122.413637629838,37.7998643923324,11,2018,37.800432,-122.417609
2328,5817,70000,"1729 BALBOA Street","Outer Richmond",-122.47732995698,37.7766057596401,12,2018,37.776683,-122.489908
2329,5818,20354,"937 Judah Street","Inner Sunset",-122.471983391654,37.7618574977814,10,2015,37.762068,-122.467189
2330,5819,30000,"550 Monterey Boulevard","West of Twin Peaks",-122.447808879368,37.7316212213457,8,2021,37.737955,-122.460363
2331,5823,44031,"357 Rolph Street","Excelsior/Outer Mission",-122.435637685605,37.7131294747735,8,2017,37.7223,-122.431224
2332,5825,120000,"1227 Page Street","Haight Ashbury/Hayes Valley",-122.441042218,37.7716954816275,8,2016,37.76991,-122.447678
2333,5837,31000,"2030 42nd Avenue","Sunset/Parkside",-122.500794062906,37.7488247260553,7,2019,37.749026,-122.493742
2334,5839,48000,"1397 12th Avenue","Inner Sunset",-122.469447730127,37.762161839195,10,2015,37.762068,-122.467189
2335,5841,42500,"3055 23rd Avenue","Sunset/Parkside",-122.479224512149,37.7317846424411,2,2022,37.749026,-122.493742
